#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter estimate="false" id="birthRate.t:tree" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.simulated_cognate_data_short" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_s_prior.s:simulated_cognate_data_short" name="distribution">
#            <parameter id="bcov_s.s:simulated_cognate_data_short" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="0.05"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="10.0"/>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.simulated_cognate_data_short" spec="beast.base.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@simulated_cognate_data_short" excludeto="1" filter="-" id="orgdata.simulated_cognate_data_short" spec="beast.base.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.base.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:simulated_cognate_data_short" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:simulated_cognate_data_short" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:simulated_cognate_data_short" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:simulated_cognate_data_short" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="covarion" spec="beast.base.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:simulated_cognate_data_short">
#                    <parameter estimate="false" id="bcov_alpha.s:simulated_cognate_data_short" lower="1.0E-4" name="alpha" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#                    <parameter dimension="2" id="frequencies.s:simulated_cognate_data_short" lower="0.0" name="vfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.95 0.05</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:simulated_cognate_data_short" lower="0.0" name="hfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@simulated_cognate_data_short" estimate="false" id="dummyfrequencies.s:simulated_cognate_data_short" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.simulated_cognate_data_short	Tree.t:tree.height	Tree.t:tree.treeLength	mutationRate.s:simulated_cognate_data_short	YuleModel.t:tree	frequencies.s:simulated_cognate_data_short.1	frequencies.s:simulated_cognate_data_short.2	bcov_s.s:simulated_cognate_data_short
0	-12094.280513258649	-11786.903271053267	-307.37724220538234	-11786.903271053267	26.171353841091122	304.9017235712128	1.0	-304.90172357121287	0.95	0.05	0.5
1000	-6231.657953599717	-6227.704978322218	-3.9529752774991804	-6227.704978322218	0.35505384046278643	1.4774566433296956	1.0	-1.4774566433296954	0.9416303362921795	0.0583696637078205	0.5
2000	-4928.99976679086	-4925.55511723151	-3.4446495593504824	-4925.55511723151	0.11132357624345701	0.9691309251809973	1.0	-0.9691309251809972	0.9333776819885543	0.06662231801144569	0.5
3000	-4711.440922246084	-4707.947680789806	-3.4932414562772314	-4707.947680789806	0.12646663891695353	1.0177228221077463	1.0	-1.0177228221077463	0.9208077460500416	0.0791922539499584	0.5
4000	-4697.15253785373	-4693.749014983438	-3.4035228702915137	-4693.749014983438	0.11725067117387444	0.9280042361220281	1.0	-0.9280042361220285	0.9208077460500416	0.0791922539499584	0.5
5000	-4681.867565202333	-4678.534612205131	-3.332952997201842	-4678.534612205131	0.1444721527499198	1.1410267390111704	1.0	-1.1410267390111701	0.9161197293327471	0.08388027066725282	0.37583846733690457
6000	-4663.8211414363395	-4660.483036624923	-3.338104811416358	-4660.483036624923	0.1421166549688318	1.1461785532256863	1.0	-1.146178553225686	0.9105287046807103	0.08947129531928957	0.37583846733690457
7000	-4641.407284566453	-4638.163090013327	-3.244194553126198	-4638.163090013327	0.1520771905595761	1.1641983982094828	1.0	-1.1641983982094826	0.9007135704454068	0.09928642955459313	0.3354878415253708
8000	-4623.06961361276	-4619.81417085994	-3.2554427528205503	-4619.81417085994	0.15396015556005424	1.1754465979038349	1.0	-1.1754465979038347	0.8933662638213336	0.10663373617866632	0.3354878415253708
9000	-4615.768710596238	-4612.468862762835	-3.2998478334030983	-4612.468862762835	0.1516290511102881	1.2198516784863833	1.0	-1.219851678486383	0.889337662707415	0.11066233729258493	0.3354878415253708
10000	-4615.972987759372	-4612.714749900105	-3.2582378592672665	-4612.714749900105	0.1627622813485905	1.1782417043505515	1.0	-1.1782417043505513	0.889337662707415	0.11066233729258493	0.3354878415253708
11000	-4621.020424795307	-4617.800893364498	-3.219531430808816	-4617.800893364498	0.17414101593388254	1.294321567254754	1.0	-1.294321567254754	0.889337662707415	0.11066233729258493	0.28651970671092764
12000	-4614.406420728905	-4611.201708570456	-3.2047121584493405	-4611.201708570456	0.17656128022216955	1.3282993722741976	1.0	-1.3282993722741976	0.889337662707415	0.11066233729258493	0.2725739485340697
13000	-4612.958656975609	-4609.871944151607	-3.0867128240021	-4609.871944151607	0.16507938804493705	1.2103000378269564	1.0	-1.2103000378269564	0.8906860694959591	0.10931393050404085	0.2725739485340697
14000	-4619.160691398931	-4616.020947703798	-3.13974369513305	-4616.020947703798	0.16889023923416369	1.2633309089579068	1.0	-1.263330908957907	0.8848848956519615	0.11511510434803843	0.2725739485340697
15000	-4609.498288245768	-4606.408444118073	-3.0898441276946746	-4606.408444118073	0.1596214329838568	1.2134313415195317	1.0	-1.2134313415195315	0.8848848956519615	0.11511510434803843	0.2725739485340697
16000	-4603.689393523492	-4600.575830823209	-3.1135627002832553	-4600.575830823209	0.17032453537820116	1.2371499141081126	1.0	-1.2371499141081124	0.8848848956519615	0.11511510434803843	0.2725739485340697
17000	-4612.676434100415	-4609.649610263964	-3.026823836450281	-4609.649610263964	0.1514294521712007	1.1504110502751381	1.0	-1.150411050275138	0.8848848956519615	0.11511510434803843	0.2725739485340697
18000	-4611.323294755453	-4608.300502858972	-3.0227918964812455	-4608.300502858972	0.1544268341512063	1.1463791103061025	1.0	-1.1463791103061025	0.8848848956519615	0.11511510434803843	0.2725739485340697
